Model,Accuracy,Precision,Recall,F1
GCN,0.7275310303574098,0.038525963149078725,0.40828402366863903,0.07040816326530612
GraphSAGE,0.7571407208015553,0.04042956411876184,0.378698224852071,0.0730593607305936
GAT,0.6038582323912068,0.045454545454545456,0.7337278106508875,0.08560579910251985
